exercise,category,variant,label
Lat Pulldown,Back,pull,accessory
Seated Back Extension,Back,,accessory
Pull Up,Back,pull,accessory
Flat Dumbbell Bench Press,Chest,push,accessory
Push Up,Chest,push,accessory
Seated Leg Curl Machine,Legs,,accessory
Leg Press,Legs,squat,accessory
Dumbbell Hammer Curl,Biceps,,accessory
Stationary Bike,Cardio,,accessory
Rowing Machine,Cardio,pull,accessory
Running (Treadmill),Cardio,,accessory
Standing Calf Raise Machine,Legs,,accessory
Dumbbell Curl,Biceps,,accessory
Undefined Ab Workout,Abs,,accessory
Seated Cable Row,Back,pull,accessory
Dumbbell Row,Back,pull,accessory
Dumbbell Tricep Kickback,Triceps,,accessory
Dumbbell Overhead Triceps Extension,Triceps,,accessory
T-Bar Row,Back,pull,accessory
Seated Machine Fly,Chest,,accessory
Dumbbell Shoulder Press,Shoulders,push,accessory
Close Grip Dip,Triceps,,accessory
Bent Over Row,Back,pull,accessory
Flat Barbell Bench Press,Chest,push,primary
Dumbbell Lunge,Legs,,accessory
Dumbbell Calf Raise,Legs,,accessory
Seated Calf Raise Machine,Legs,,accessory
Incline Barbell Bench Press,Chest,push,accessory
Hammer Strength Row,Back,pull,accessory
Deadlift,Back,hip hinge,primary
Running (Outdoor),Cardio,,accessory
Rear Delt Machine Fly,Shoulders,,accessory
Hip Adduction,Legs,,accessory
Hip Abduction,Legs,,accessory
Cooldown And Stretch,Cooldown,,accessory
Rope Push Down,Triceps,,accessory
Incline Dumbbell Bench Press,Chest,push,accessory
Barbell Squat,Legs,squat,primary
Lateral Dumbbell Raise,Shoulders,,accessory
Flat Dumbbell Fly,Chest,,accessory
Barbell Curl,Biceps,,accessory
Barbell Row,Back,pull,accessory
Stair Machine,Cardio,,accessory
Overhead Press,Shoulders,push,accessory
Close Grip Barbell Bench Press,Triceps,push,accessory
Barbell Shrug,Back,,accessory
Hammer Strength Shoulder Press,Shoulders,push,accessory
Cable Overhead Triceps Extension,Triceps,,accessory
Cable Curl,Biceps,,accessory
Dumbbell Concentration Curl,Biceps,,accessory
Decline Dumbbell Bench Press,Chest,push,accessory
The Choi Ab Routine,Abs,,accessory
Paramount Standing Machine Fly,Chest,,accessory
Paramount Rope Pushdown,Triceps,,accessory
Paramount Cable Overhead Tricep Extension,Triceps,,accessory
EZ-Bar Preacher Curl,Biceps,,accessory
Jump Rope,Cardio,,accessory
Decline Cable Fly,Chest,,accessory
Assisted Pull Up,Back,pull,accessory
Forearm Curl,Forearms,,accessory
Reverse Forearm Curl,Forearms,,accessory
Forearm Roll Up,Forearms,,accessory
Oblique Curl,Abs,,accessory
Hamstring Bend And Curl,Legs,,accessory
Barbell Calf Raise,Legs,,accessory
Seated Incline Dumbbell Curl,Biceps,,accessory
Hanging Leg Raise,Abs,,accessory
Standing Rear Delt Dumbbell Raise,Shoulders,,accessory
Weighted Sit Up,Abs,,accessory
One-Legged Dumbbell Deadlift,Legs,hip hinge,accessory
Single Arm Cable Pulldown,Back,pull,accessory
Standing Cable Row,Back,pull,accessory
Seated Cable Row Squeeze,Back,pull,accessory
Single Arm Cable Row,Back,pull,accessory
Straight Shoulder Retractiom On Swiss Ball,Back,,accessory
T Shoulder Retraction On Swiss Ball,Back,,accessory
Touch Downs With Resistance Band,Back,,accessory
Shoulder Flaps With Resistance Band,Back,,accessory
Bent-over Two-Dumbbell Row with Palms in,Back,pull,accessory
TRX Suspended Push Up,Chest,push,accessory
Bodyweight Mid Row,Back,pull,accessory
Lateral to Front Dumbbell Raise,Shoulders,,accessory
Bent over Standing Dumbbell Fly,Shoulders,,accessory
Reverse Cable Curl,Forearms,,accessory
Pallof Press with Rotation,Abs,push,accessory
Standing Cable Wood Chop,Abs,,accessory
Barbell Press Sit-up,Abs,push,accessory
Low Cable Cross-over,Chest,,accessory
Dumbbell Incline Row,Back,pull,accessory
Chin Up,Back,pull,accessory
Lateral Cable Raise,Shoulders,,accessory
Incline Dumbbell Curl,Biceps,,accessory
Incline Reverse Dumbbell Fly,Shoulders,,accessory
Lat Pulldown Pronated,Back,pull,accessory
Bosu Ball Squat,Legs,squat,accessory
Incline Dumbbell Press Yoga Ball,Shoulders,push,accessory
Decline Dumbbell Press Yoga Ball,Chest,push,accessory
Pec Dec,Chest,,accessory
Incline Hammer Strength Chest Press,Chest,push,accessory
Front Dumbbell Raise,Shoulders,,accessory
Stiff-Legged Dumbbell Deadlift,Legs,hip hinge,accessory
Barbell Plie Squat,Legs,squat,accessory
Goblet Squat,Legs,squat,accessory
Leg Extension Machine,Legs,,accessory
Lying Leg Curl Machine,Legs,,accessory
Decline Dumbbell Fly,Chest,,accessory
Lower Chest Bracket Pushup,Chest,push,accessory
Incline Pushup,Chest,push,accessory
Single Arm Hammer Strength Press,Chest,push,accessory
Single-Arm T-Bar Row,Back,pull,accessory
Decline Oblique Chop,Abs,,accessory
Ab-Wheel Rollout Side-Side-Front,Abs,,accessory
Med Ball Spread Eagle,Abs,,accessory
Incline Dumbbell Hammer Curl,Biceps,,accessory
Mounted Oblique Lean,Abs,,accessory
Decline Barbell Bench Press,Chest,push,accessory
Hanging Front Snap Kick Raise,Abs,,accessory
Martial Arts Tabata,Cardio,,accessory
Reverse Cable Fly,Back,,accessory
Wide Lat Pulldown Supinated,Back,pull,accessory
Bent Over EZ Bar Cable Row,Back,pull,accessory
Bent Over Single Arm Cable Row with Twist,Back,pull,accessory
Inverted Row,Back,pull,accessory
Bent Over Rope Pulldown,Back,pull,accessory
Active Stretching,Warmup,,accessory
Hanging Knee Raise,Abs,,accessory
Supine Hamstring Stretch with Strap,Legs,,accessory
Gastroc Stretch with Foot at Wall,Legs,,accessory
Eccentric Heel Lowering on Step,Legs,,accessory
Bent Knee Eccentric Heel Lowering on Step,Legs,,accessory
Side Stepping with Resistance at Ankle,Legs,,accessory
Dead Bug,Abs,,accessory
Ankle Dorsiflexion with Resistance,Legs,,accessory
Ankle Inversion with Resistance,Legs,,accessory
Long Sitting Ankle Eversion with Resistance,Legs,,accessory
Prone Chest Stretch on Chair,Back,,accessory
Doorway Pec Stretch at 90 Degrees Abduction,Chest,,accessory
Seated Dumbbell Overhead Press,Shoulders,push,accessory
Supine Quadriceps Stretch with Strap,Legs,,accessory
Arm Bike,Cardio,,accessory
Standing High Shoulder Row with Anchored Resistance,Shoulders,pull,accessory
Cable Face Pull,Shoulders,pull,accessory
Standing Incline Cable Fly,Chest,,accessory
Barbell Front Squat,Legs,squat,accessory
Smith Machine Reverse Lunge,Legs,,accessory
Single Leg Calf Press,Legs,push,accessory
